City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
163,Torres,BR,-29.3353,-49.7269,69.82,94,100,5.84,overcast clouds,2022-03-14 01:30:58
164,Camacha,PT,33.0833,-16.3333,49.42,76,75,27.63,broken clouds,2022-03-14 01:30:59
165,Tremosna,CZ,49.8158,13.395,37.49,66,0,5.75,clear sky,2022-03-14 01:30:59
166,Faanui,PF,-16.4833,-151.75,82.15,69,99,9.55,overcast clouds,2022-03-14 01:31:00
167,Uchiza,PE,-8.4592,-76.4633,69.13,98,75,1.5,broken clouds,2022-03-14 01:31:00
168,Ponta Delgada,PT,37.7333,-25.6667,55.51,62,75,6.91,broken clouds,2022-03-14 01:31:01
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.01,88,2,13.13,clear sky,2022-03-14 01:31:01
170,Almeirim,BR,-1.5233,-52.5817,74.32,95,100,3.36,overcast clouds,2022-03-14 01:30:32
171,Komsomolskiy,UZ,40.4272,71.7189,50.72,93,100,6.91,mist,2022-03-14 01:31:02
172,Udachnyy,RU,66.4167,112.4,-15.18,100,100,2.64,overcast clouds,2022-03-14 01:31:03
173,Srednekolymsk,RU,67.45,153.6833,-4.72,91,100,6.49,overcast clouds,2022-03-14 01:31:03
174,Tual,ID,-5.6667,132.75,84.13,71,100,3.65,moderate rain,2022-03-14 01:31:04
175,Ngunguru,NZ,-35.6167,174.5,68.41,74,57,9.44,broken clouds,2022-03-14 01:31:04
176,Tiksi,RU,71.6872,128.8694,-16.8,99,98,1.36,overcast clouds,2022-03-14 01:31:05
177,Ucluelet,CA,48.9329,-125.5528,46.09,90,100,1.99,overcast clouds,2022-03-14 01:30:25
178,Santa Maria,BR,-29.6842,-53.8069,63.7,100,100,6.91,light intensity drizzle,2022-03-14 01:27:58
179,Flinders,AU,-34.5833,150.8552,74.48,78,47,6.22,scattered clouds,2022-03-14 01:31:06
180,Avarua,CK,-21.2078,-159.775,84.25,74,20,5.75,few clouds,2022-03-14 01:28:49
181,Aksarka,RU,66.5606,67.7975,-4.34,100,99,7.47,overcast clouds,2022-03-14 01:31:07
182,Rumphi,MW,-11.0186,33.8575,63.12,86,100,1.57,overcast clouds,2022-03-14 01:31:07
183,Batagay-Alyta,RU,67.8006,130.4114,-8.77,92,95,1.63,overcast clouds,2022-03-14 01:31:08
184,Lasa,IT,46.6166,10.7002,31.03,82,88,2.48,overcast clouds,2022-03-14 01:31:09
185,Villa Union,MX,23.2,-106.2333,71.56,46,0,10.36,clear sky,2022-03-14 01:31:09
186,Ambon,ID,-3.6954,128.1814,84.34,79,40,5.75,scattered clouds,2022-03-14 01:31:10
187,Atambua,ID,-9.1061,124.8925,83.05,69,76,2.42,broken clouds,2022-03-14 01:31:10
188,Zabaykalsk,RU,49.6333,117.3167,23.07,77,91,6.26,overcast clouds,2022-03-14 01:31:11
189,Kaabong,UG,3.4836,34.1492,71.58,42,98,2.13,overcast clouds,2022-03-14 01:31:11
190,Victoria,HK,22.2855,114.1577,76.96,81,68,4.0,broken clouds,2022-03-14 01:29:02
191,Itarema,BR,-2.9248,-39.9167,77.54,84,97,6.31,overcast clouds,2022-03-14 01:30:28
192,Codrington,AU,-38.2667,141.9667,76.24,57,100,8.52,light rain,2022-03-14 01:31:12
193,Santa Cruz,BO,-17.8,-63.1667,72.86,83,75,5.75,broken clouds,2022-03-14 01:31:13
194,Poltavka,RU,54.3663,71.7632,3.87,92,100,9.98,overcast clouds,2022-03-14 01:31:13
195,Lavrentiya,RU,65.5833,-171.0,11.14,73,0,2.64,clear sky,2022-03-14 01:31:14
196,Chartres,FR,48.4167,1.5,43.02,92,6,3.0,clear sky,2022-03-14 01:31:14
197,Esperance,AU,-33.8667,121.9,71.44,64,20,14.5,few clouds,2022-03-14 01:31:15
198,Bani,DO,18.2833,-70.3333,74.64,79,85,9.98,overcast clouds,2022-03-14 01:31:15
199,Severo-Yeniseyskiy,RU,60.3725,93.0408,-7.78,94,44,0.47,scattered clouds,2022-03-14 01:31:16
200,Nemuro,JP,43.3236,145.575,31.42,93,100,11.59,overcast clouds,2022-03-14 01:31:16
201,Namibe,AO,-15.1961,12.1522,70.77,79,100,9.69,overcast clouds,2022-03-14 01:31:17
202,Mayo,US,38.8876,-76.5119,41.97,57,100,3.44,overcast clouds,2022-03-14 01:31:17
203,Progreso,MX,21.2833,-89.6667,73.51,68,96,14.67,overcast clouds,2022-03-14 01:31:18
